1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;2000000;Hamburg;insg.;40,282;25,242;15,040;247;136;111;2,200;1,398;802;2,447;1,534;913;2,762;1,628;1,134;2,442;1,448;994;30,179;19,183;10,996;2,452;1,449;1,003;32,631;20,632;11,999
------;Straftaten insgesamt;5915000;Hamm;vers.;327;221;106;1;1;0;24;18;6;25;19;6;29;23;6;31;21;10;216;142;74;26;16;10;242;158;84
------;Straftaten insgesamt;5915000;Hamm;voll.;3,410;2,009;1,401;25;10;15;226;144;82;251;154;97;352;206;146;241;124;117;2,372;1,404;968;194;121;73;2,566;1,525;1,041
------;Straftaten insgesamt;5915000;Hamm;insg.;3,737;2,230;1,507;26;11;15;250;162;88;276;173;103;381;229;152;272;145;127;2,588;1,546;1,042;220;137;83;2,808;1,683;1,125
------;Straftaten insgesamt;6435014;Hanau;vers.;57;36;21;0;0;0;4;2;2;4;2;2;1;0;1;3;3;0;39;23;16;10;8;2;49;31;18
------;Straftaten insgesamt;6435014;Hanau;voll.;1,223;596;627;12;3;9;68;40;28;80;43;37;72;35;37;73;35;38;912;434;478;86;49;37;998;483;515
------;Straftaten insgesamt;6435014;Hanau;insg.;1,280;632;648;12;3;9;72;42;30;84;45;39;73;35;38;76;38;38;951;457;494;96;57;39;1,047;514;533
------;Straftaten insgesamt;3241001;Hannover;vers.;1,083;752;331;7;3;4;54;36;18;61;39;22;81;54;27;66;40;26;804;575;229;71;44;27;875;619;256
------;Straftaten insgesamt;3241001;Hannover;voll.;15,431;9,852;5,579;117;60;57;803;488;315;920;548;372;1,201;691;510;999;584;415;11,438;7,492;3,946;873;537;336;12,311;8,029;4,282
------;Straftaten insgesamt;3241001;Hannover;insg.;16,514;10,604;5,910;124;63;61;857;524;333;981;587;394;1,282;745;537;1,065;624;441;12,242;8,067;4,175;944;581;363;13,186;8,648;4,538
------;Straftaten insgesamt;8221000;Heidelberg;vers.;150;118;32;0;0;0;4;1;3;4;1;3;11;7;4;11;8;3;116;96;20;8;6;2;124;102;22
------;Straftaten insgesamt;8221000;Heidelberg;voll.;2,757;1,872;885;11;4;7;63;40;23;74;44;30;182;98;84;240;170;70;2,103;1,454;649;158;106;52;2,261;1,560;701
------;Straftaten insgesamt;8221000;Heidelberg;insg.;2,907;1,990;917;11;4;7;67;41;26;78;45;33;193;105;88;251;178;73;2,219;1,550;669;166;112;54;2,385;1,662;723
------;Straftaten insgesamt;8121000;Heilbronn;vers.;92;60;32;1;0;1;2;2;0;3;2;1;5;3;2;8;8;0;68;43;25;8;4;4;76;47;29
------;Straftaten insgesamt;8121000;Heilbronn;voll.;2,474;1,429;1,045;12;10;2;135;68;67;147;78;69;151;76;75;183;86;97;1,862;1,107;755;131;82;49;1,993;1,189;804
------;Straftaten insgesamt;8121000;Heilbronn;insg.;2,566;1,489;1,077;13;10;3;137;70;67;150;80;70;156;79;77;191;94;97;1,930;1,150;780;139;86;53;2,069;1,236;833
------;Straftaten insgesamt;5916000;Herne;vers.;292;135;157;2;1;1;73;12;61;75;13;62;22;12;10;13;10;3;167;92;75;15;8;7;182;100;82
------;Straftaten insgesamt;5916000;Herne;voll.;3,121;1,712;1,409;22;12;10;275;124;151;297;136;161;300;169;131;218;118;100;2,115;1,185;930;191;104;87;2,306;1,289;1,017
------;Straftaten insgesamt;5916000;Herne;insg.;3,413;1,847;1,566;24;13;11;348;136;212;372;149;223;322;181;141;231;128;103;2,282;1,277;1,005;206;112;94;2,488;1,389;1,099
------;Straftaten insgesamt;3254021;Hildesheim;vers.;151;103;48;0;0;0;8;5;3;8;5;3;22;17;5;8;6;2;104;67;37;9;8;1;113;75;38
------;Straftaten insgesamt;3254021;Hildesheim;voll.;2,036;1,147;889;23;9;14;151;93;58;174;102;72;214;102;112;134;66;68;1,392;797;595;122;80;42;1,514;877;637
------;Straftaten insgesamt;3254021;Hildesheim;insg.;2,187;1,250;937;23;9;14;159;98;61;182;107;75;236;119;117;142;72;70;1,496;864;632;131;88;43;1,627;952;675
------;Straftaten insgesamt;9161000;Ingolstadt;vers.;265;191;74;2;1;1;13;11;2;15;12;3;27;21;6;16;11;5;189;134;55;18;13;5;207;147;60
------;Straftaten insgesamt;9161000;Ingolstadt;voll.;2,299;1,447;852;23;17;6;117;78;39;140;95;45;220;133;87;198;122;76;1,607;1,011;596;134;86;48;1,741;1,097;644
------;Straftaten insgesamt;9161000;Ingolstadt;insg.;2,564;1,638;926;25;18;7;130;89;41;155;107;48;247;154;93;214;133;81;1,796;1,145;651;152;99;53;1,948;1,244;704
------;Straftaten insgesamt;16053000;Jena;vers.;100;68;32;1;0;1;6;5;1;7;5;2;11;9;2;3;1;2;64;46;18;15;7;8;79;53;26
------;Straftaten insgesamt;16053000;Jena;voll.;1,453;902;551;15;12;3;100;53;47;115;65;50;97;60;37;100;55;45;1,052;671;381;89;51;38;1,141;722;419
------;Straftaten insgesamt;16053000;Jena;insg.;1,553;970;583;16;12;4;106;58;48;122;70;52;108;69;39;103;56;47;1,116;717;399;104;58;46;1,220;775;445
------;Straftaten insgesamt;7312000;Kaiserslautern;vers.;241;171;70;2;1;1;12;7;5;14;8;6;20;11;9;26;21;5;159;114;45;22;17;5;181;131;50
------;Straftaten insgesamt;7312000;Kaiserslautern;voll.;2,722;1,650;1,072;21;10;11;144;73;71;165;83;82;175;108;67;215;130;85;1,974;1,217;757;193;112;81;2,167;1,329;838
------;Straftaten insgesamt;7312000;Kaiserslautern;insg.;2,963;1,821;1,142;23;11;12;156;80;76;179;91;88;195;119;76;241;151;90;2,133;1,331;802;215;129;86;2,348;1,460;888
