1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68
Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt maennlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre maennlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre maennlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre maennlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre maennlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre maennlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt maennlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre maennlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre maennlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - maennlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre maennlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - maennlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre maennlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre maennlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - maennlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - maennlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - maennlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - maennlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - maennlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - maennlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - maennlich;Erwachsene ab 21 Jahre - weiblich
------;Straftaten insgesamt;5915000;Hamm;voll.;2,386;1,251;1,135;16;10;6;16;8;8;18;13;5;39;24;15;75;35;40;164;90;74;106;51;55;145;79;66;251;130;121;208;109;99;623;329;294;145;78;67;117;52;65;262;130;132;317;165;152;465;220;245;384;204;180;227;143;84;108;60;48;1,763;922;841
------;Straftaten insgesamt;3241001;Hannover;voll.;11,324;7,042;4,282;121;66;55;69;29;40;74;44;30;132;70;62;201;108;93;597;317;280;318;179;139;423;225;198;741;404;337;1,036;644;392;2,374;1,365;1,009;761;484;277;761;502;259;1,522;986;536;1,844;1,147;697;2,562;1,670;892;1,556;996;560;936;598;338;530;280;250;8,950;5,677;3,273
------;Straftaten insgesamt;8221000;Heidelberg;voll.;2,347;1,523;824;22;12;10;10;4;6;14;8;6;22;13;9;31;22;9;99;59;40;38;18;20;80;43;37;118;61;57;253;169;84;470;289;181;179;111;68;172;105;67;351;216;135;419;295;124;454;318;136;272;166;106;225;146;79;156;93;63;1,877;1,234;643
------;Straftaten insgesamt;8121000;Heilbronn;voll.;1,552;922;630;19;14;5;5;4;1;14;10;4;12;6;6;26;11;15;76;45;31;43;22;21;58;28;30;101;50;51;168;114;54;345;209;136;121;73;48;107;76;31;228;149;79;250;144;106;305;149;156;197;118;79;149;99;50;78;54;24;1,207;713;494
------;Straftaten insgesamt;5916000;Herne;voll.;2,674;1,438;1,236;28;15;13;10;2;8;20;10;10;58;38;20;71;38;33;187;103;84;128;64;64;134;65;69;262;129;133;224;118;106;673;350;323;140;68;72;156;79;77;296;147;149;357;203;154;535;288;247;396;209;187;270;168;102;147;73;74;2,001;1,088;913
------;Straftaten insgesamt;3254021;Hildesheim;voll.;1,972;1,109;863;18;13;5;9;6;3;18;12;6;16;8;8;43;27;16;104;66;38;75;33;42;76;43;33;151;76;75;193;120;73;448;262;186;129;76;53;105;58;47;234;134;100;271;159;112;387;201;186;283;141;142;218;145;73;131;67;64;1,524;847;677
------;Straftaten insgesamt;9161000;Ingolstadt;voll.;2,181;1,441;740;25;15;10;15;11;4;15;6;9;32;9;23;71;36;35;158;77;81;52;33;19;83;57;26;135;90;45;232;168;64;525;335;190;208;143;65;158;117;41;366;260;106;374;260;114;390;247;143;265;172;93;159;107;52;102;60;42;1,656;1,106;550
------;Straftaten insgesamt;16053000;Jena;voll.;1,399;880;519;10;4;6;8;3;5;15;7;8;26;17;9;42;20;22;101;51;50;75;31;44;54;32;22;129;63;66;138;94;44;368;208;160;73;44;29;73;47;26;146;91;55;224;145;79;307;200;107;176;121;55;110;74;36;68;41;27;1,031;672;359
------;Straftaten insgesamt;8212000;Karlsruhe;voll.;3,441;2,080;1,361;30;21;9;29;17;12;26;12;14;33;14;19;70;32;38;188;96;92;105;40;65;118;76;42;223;116;107;330;200;130;741;412;329;220;130;90;200;123;77;420;253;167;527;334;193;731;447;284;478;293;185;356;234;122;188;107;81;2,700;1,668;1,032
------;Straftaten insgesamt;6611000;Kassel;voll.;2,895;1,665;1,230;31;15;16;23;11;12;33;23;10;33;18;15;62;24;38;182;91;91;83;33;50;98;41;57;181;74;107;273;163;110;636;328;308;198;103;95;156;89;67;354;192;162;399;222;177;661;384;277;433;276;157;280;185;95;132;78;54;2,259;1,337;922
------;Straftaten insgesamt;1002000;Kiel;voll.;4,115;2,625;1,490;28;12;16;7;6;1;29;16;13;48;31;17;78;38;40;190;103;87;137;79;58;170;104;66;307;183;124;434;264;170;931;550;381;273;170;103;238;161;77;511;331;180;688;460;228;854;534;320;553;369;184;400;271;129;178;110;68;3,184;2,075;1,109
