Schluesselzahl der Tat;Straftat;Gemeindeschlüssel;Stadt;Sexus;Tatverdaechtige insgesamt - Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder bis unter 14 Jahre insgesamt (Anzahl Spalte 5 bis 9);Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt (Anzahl Spalte 11 und 12);Heranwachsende 18 bis unter 21 Jahre - Anzahl;Tatverdaechtige insgesamt unter 21 Jahre (Anzahl Spalte 10, 13 und 14);Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 21 bis unter 25 Jahre (Anzahl Spalte 16 und 17);Erwachsene 25 bis unter 30 Jahre;Erwachsene 30 bis unter 40 Jahre;Erwachsene 40 bis unter 50 Jahre;Erwachsene 50 bis unter 60 Jahre;Erwachsene 60 Jahre und aelter;Erwachsene ab 21 Jahre (Anzahl Spalten 18 bis 23)
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;9161000;Ingolstadt;W;233;0;0;0;0;0;0;7;8;15;30;45;16;28;44;30;54;33;22;5;188
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;9161000;Ingolstadt;X;894;0;0;0;0;1;1;20;46;66;99;166;73;74;147;123;201;145;80;32;728
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;16053000;Jena;M;692;0;0;0;0;0;0;2;14;16;51;67;50;55;105;134;206;103;57;20;625
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;16053000;Jena;W;313;0;0;0;1;1;2;3;4;7;30;39;23;21;44;61;90;44;26;9;274
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;16053000;Jena;X;1005;0;0;0;1;1;2;5;18;23;81;106;73;76;149;195;296;147;83;29;899
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8212000;Karlsruhe;M;3693;0;1;1;5;7;14;84;185;269;498;781;411;356;767;668;774;398;224;81;2912
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8212000;Karlsruhe;W;1203;0;0;0;0;6;6;69;82;151;188;345;113;98;211;166;229;121;99;32;858
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8212000;Karlsruhe;X;4896;0;1;1;5;13;20;153;267;420;686;1126;524;454;978;834;1003;519;323;113;3770
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;6611000;Kassel;M;1694;0;1;1;1;2;5;37;60;97;163;265;133;139;272;298;422;230;141;66;1429
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;6611000;Kassel;W;732;0;1;0;2;4;7;28;35;63;82;152;67;66;133;99;143;106;69;30;580
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;6611000;Kassel;X;2426;0;2;1;3;6;12;65;95;160;245;417;200;205;405;397;565;336;210;96;2009
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;1002000;Kiel;M;1048;0;0;0;0;0;0;16;33;49;121;170;77;80;157;151;233;190;92;55;878
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;1002000;Kiel;W;531;0;0;0;0;3;3;6;19;25;50;78;52;55;107;91;107;80;49;19;453
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;1002000;Kiel;X;1579;0;0;0;0;3;3;22;52;74;171;248;129;135;264;242;340;270;141;74;1331
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;7111000;Koblenz;M;841;0;0;0;0;0;0;15;36;51;98;149;68;77;145;150;192;110;65;30;692
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;7111000;Koblenz;W;318;0;0;0;0;2;2;12;22;34;39;75;24;26;50;47;63;58;18;7;243
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;7111000;Koblenz;X;1159;0;0;0;0;2;2;27;58;85;137;224;92;103;195;197;255;168;83;37;935
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5315000;Köln;M;7754;0;0;0;0;11;11;109;402;511;856;1378;629;604;1233;1245;1749;1215;652;282;6376
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5315000;Köln;W;3509;0;0;0;4;11;15;115;238;353;498;866;318;268;586;590;662;458;213;134;2643
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5315000;Köln;X;11263;0;0;0;4;22;26;224;640;864;1354;2244;947;872;1819;1835;2411;1673;865;416;9019
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5114000;Krefeld;M;1974;0;0;0;1;3;4;17;62;79;230;313;168;180;348;322;444;321;147;79;1661
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5114000;Krefeld;W;820;0;0;1;1;2;4;20;55;75;134;213;65;59;124;125;158;131;46;23;607
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5114000;Krefeld;X;2794;0;0;1;2;5;8;37;117;154;364;526;233;239;472;447;602;452;193;102;2268
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;14713000;Leipzig;M;4218;0;0;0;0;4;4;40;76;116;311;431;312;362;674;887;1101;604;336;185;3787
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;14713000;Leipzig;W;1975;0;0;1;1;6;8;39;50;89;178;275;155;188;343;409;472;244;151;81;1700
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;14713000;Leipzig;X;6193;0;0;1;1;10;12;79;126;205;489;706;467;550;1017;1296;1573;848;487;266;5487
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5316000;Leverkusen;M;892;0;0;0;0;2;2;2;30;32;100;134;71;88;159;152;226;129;63;29;758
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5316000;Leverkusen;W;381;0;0;0;0;1;1;2;21;23;69;93;35;28;63;57;82;56;19;11;288
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5316000;Leverkusen;X;1273;0;0;0;0;3;3;4;51;55;169;227;106;116;222;209;308;185;82;40;1046
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;1003000;Lübeck;M;964;0;0;0;2;4;6;15;32;47;88;141;60;79;139;168;224;155;86;51;823
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;1003000;Lübeck;W;443;0;0;0;0;1;1;12;18;30;43;74;33;26;59;70;102;68;43;27;369
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;1003000;Lübeck;X;1407;0;0;0;2;5;7;27;50;77;131;215;93;105;198;238;326;223;129;78;1192
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;7314000;Ludwigshafen am Rhein;M;1488;0;0;0;0;1;1;21;58;79;171;251;140;145;285;278;323;210;98;43;1237
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;7314000;Ludwigshafen am Rhein;W;748;0;0;0;0;3;3;18;44;62;92;157;71;58;129;121;162;110;50;19;591
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;7314000;Ludwigshafen am Rhein;X;2236;0;0;0;0;4;4;39;102;141;263;408;211;203;414;399;485;320;148;62;1828
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;15003000;Magdeburg;M;1718;0;1;0;2;8;11;53;58;111;182;304;118;124;242;330;389;228;171;54;1414
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;15003000;Magdeburg;W;851;0;0;0;3;8;11;48;35;83;82;176;72;69;141;134;189;107;80;24;675
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;15003000;Magdeburg;X;2569;0;1;0;5;16;22;101;93;194;264;480;190;193;383;464;578;335;251;78;2089
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;7315000;Mainz;M;1806;0;0;0;0;12;12;34;119;153;245;410;152;161;313;311;345;216;129;82;1396
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;7315000;Mainz;W;723;0;0;0;0;9;9;31;52;83;108;200;74;46;120;87;146;90;54;26;523
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;7315000;Mainz;X;2529;0;0;0;0;21;21;65;171;236;353;610;226;207;433;398;491;306;183;108;1919
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8222000;Mannheim;M;3304;0;0;0;0;10;10;27;129;156;386;552;324;336;660;600;719;442;226;105;2752
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8222000;Mannheim;W;1513;0;0;0;0;8;8;39;64;103;223;334;158;130;288;250;304;193;103;41;1179
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8222000;Mannheim;X;4817;0;0;0;0;18;18;66;193;259;609;886;482;466;948;850;1023;635;329;146;3931
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5170024;Moers;M;419;0;0;0;1;1;2;1;13;14;49;65;24;31;55;59;112;74;32;22;354
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5170024;Moers;W;188;0;0;0;0;1;1;1;13;14;23;38;11;13;24;23;50;28;20;5;150
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5170024;Moers;X;607;0;0;0;1;2;3;2;26;28;72;103;35;44;79;82;162;102;52;27;504
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5116000;Mönchengladbach;M;1548;0;0;0;0;1;1;23;55;78;197;276;141;162;303;285;367;192;88;37;1272
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5116000;Mönchengladbach;W;674;0;0;0;0;3;3;23;43;66;115;184;63;65;128;98;134;74;39;17;490
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5116000;Mönchengladbach;X;2222;0;0;0;0;4;4;46;98;144;312;460;204;227;431;383;501;266;127;54;1762
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5117000;Mülheim an der Ruhr;M;1342;0;0;0;0;1;1;16;38;54;135;190;121;129;250;260;293;210;87;52;1152
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5117000;Mülheim an der Ruhr;W;547;0;0;0;0;1;1;11;20;31;73;105;43;50;93;105;119;72;34;19;442
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5117000;Mülheim an der Ruhr;X;1889;0;0;0;0;2;2;27;58;85;208;295;164;179;343;365;412;282;121;71;1594
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;9162000;München;M;6420;0;0;0;2;7;9;66;194;260;641;910;488;543;1031;1008;1514;1110;572;275;5510
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;9162000;München;W;2792;0;0;0;1;12;13;56;102;158;342;513;252;210;462;457;604;426;227;103;2279
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;9162000;München;X;9212;0;0;0;3;19;22;122;296;418;983;1423;740;753;1493;1465;2118;1536;799;378;7789
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5515000;Münster;M;1522;0;0;0;0;6;6;41;69;110;178;294;133;111;244;243;339;209;121;72;1228
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5515000;Münster;W;616;0;0;0;0;4;4;27;29;56;72;132;47;46;93;95;129;89;56;22;484
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5515000;Münster;X;2138;0;0;0;0;10;10;68;98;166;250;426;180;157;337;338;468;298;177;94;1712
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5162024;Neuss;M;1308;0;0;0;0;1;1;19;35;54;168;223;96;130;226;255;322;160;85;37;1085
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5162024;Neuss;W;575;0;0;0;0;2;2;14;37;51;82;135;50;47;97;108;106;76;40;13;440
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5162024;Neuss;X;1883;0;0;0;0;3;3;33;72;105;250;358;146;177;323;363;428;236;125;50;1525
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;9564000;Nürnberg;M;3244;0;0;0;0;1;1;61;150;211;416;628;251;275;526;514;687;524;261;104;2616
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;9564000;Nürnberg;W;1401;0;0;0;0;3;3;66;104;170;196;369;139;124;263;214;241;175;93;46;1032
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;9564000;Nürnberg;X;4645;0;0;0;0;4;4;127;254;381;612;997;390;399;789;728;928;699;354;150;3648
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5119000;Oberhausen;M;1106;0;0;0;0;3;3;17;28;45;125;173;103;103;206;183;268;178;62;36;933
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5119000;Oberhausen;W;495;0;0;0;0;1;1;4;26;30;80;111;48;27;75;90;104;59;41;15;384
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5119000;Oberhausen;X;1601;0;0;0;0;4;4;21;54;75;205;284;151;130;281;273;372;237;103;51;1317
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;6413000;Offenbach am Main;M;1261;0;0;0;0;4;4;34;74;108;159;271;90;87;177;216;330;163;72;32;990
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;6413000;Offenbach am Main;W;578;0;0;0;0;2;2;16;55;71;102;175;58;33;91;85;116;66;30;15;403
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;6413000;Offenbach am Main;X;1839;0;0;0;0;6;6;50;129;179;261;446;148;120;268;301;446;229;102;47;1393
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;3403000;Oldenburg (Oldenburg);M;732;0;0;0;0;1;1;16;19;35;63;99;58;65;123;114;182;105;73;36;633
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;3403000;Oldenburg (Oldenburg);W;324;0;0;0;1;2;3;11;9;20;31;54;24;29;53;55;60;53;26;23;270
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;3403000;Oldenburg (Oldenburg);X;1056;0;0;0;1;3;4;27;28;55;94;153;82;94;176;169;242;158;99;59;903
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;3404000;Osnabrück;M;1174;0;0;0;0;2;2;12;44;56;110;168;101;105;206;219;274;175;87;45;1006
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;3404000;Osnabrück;W;505;0;0;0;0;0;0;10;19;29;63;92;58;41;99;83;109;70;40;12;413
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;3404000;Osnabrück;X;1679;0;0;0;0;2;2;22;63;85;173;260;159;146;305;302;383;245;127;57;1419
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5774032;Paderborn;M;1205;0;0;0;0;3;3;48;116;164;231;398;99;87;186;180;231;131;59;20;807
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5774032;Paderborn;W;548;0;0;0;1;1;2;50;53;103;104;209;46;41;87;69;99;49;28;7;339
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5774032;Paderborn;X;1753;0;0;0;1;4;5;98;169;267;335;607;145;128;273;249;330;180;87;27;1146
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8231000;Pforzheim;M;654;0;0;0;5;8;13;14;35;49;51;113;53;47;100;113;152;107;52;17;541
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8231000;Pforzheim;W;337;0;0;0;0;11;11;25;19;44;32;87;32;22;54;45;80;38;23;10;250
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8231000;Pforzheim;X;991;0;0;0;5;19;24;39;54;93;83;200;85;69;154;158;232;145;75;27;791
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;12054000;Potsdam;M;647;0;0;0;0;1;1;9;7;16;23;40;30;42;72;110;169;133;91;32;607
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;12054000;Potsdam;W;335;0;0;0;0;3;3;7;9;16;30;49;16;21;37;50;82;58;30;29;286
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;12054000;Potsdam;X;982;0;0;0;0;4;4;16;16;32;53;89;46;63;109;160;251;191;121;61;893
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5562032;Recklinghausen;M;612;0;0;0;0;2;2;8;26;34;66;102;58;40;98;81;152;100;58;21;510
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5562032;Recklinghausen;W;279;0;0;0;0;1;1;5;7;12;33;46;18;15;33;48;63;52;26;11;233
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5562032;Recklinghausen;X;891;0;0;0;0;3;3;13;33;46;99;148;76;55;131;129;215;152;84;32;743
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;9362000;Regensburg;M;927;0;0;1;0;3;4;28;63;91;111;206;91;87;178;132;196;133;55;27;721
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;9362000;Regensburg;W;415;0;0;0;1;3;4;18;38;56;81;141;39;20;59;52;71;53;25;14;274
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;9362000;Regensburg;X;1342;0;0;1;1;6;8;46;101;147;192;347;130;107;237;184;267;186;80;41;995
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5120000;Remscheid;M;361;0;0;1;2;3;6;4;15;19;28;53;22;27;49;45;95;58;40;21;308
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5120000;Remscheid;W;155;0;0;0;0;0;0;2;6;8;12;20;9;12;21;23;39;30;14;8;135
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5120000;Remscheid;X;516;0;0;1;2;3;6;6;21;27;40;73;31;39;70;68;134;88;54;29;443
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8415061;Reutlingen;M;379;0;0;0;1;3;4;11;13;24;51;79;33;24;57;64;77;58;29;15;300
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8415061;Reutlingen;W;188;0;0;0;0;2;2;6;6;12;21;35;17;11;28;21;41;36;18;9;153
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8415061;Reutlingen;X;567;0;0;0;1;5;6;17;19;36;72;114;50;35;85;85;118;94;47;24;453
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;13003000;Rostock;M;1774;1;0;0;2;0;3;16;63;79;175;257;156;170;326;376;408;218;130;59;1517
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;13003000;Rostock;W;854;0;0;0;1;4;5;17;46;63;100;168;72;93;165;148;169;113;67;24;686
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;13003000;Rostock;X;2628;1;0;0;3;4;8;33;109;142;275;425;228;263;491;524;577;331;197;83;2203
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;10041100;Saarbrücken;M;1210;0;0;0;0;5;5;30;50;80;115;200;78;98;176;198;266;219;116;35;1010
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;10041100;Saarbrücken;W;477;0;0;0;0;1;1;12;22;34;79;114;45;35;80;71;99;54;42;17;363
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;10041100;Saarbrücken;X;1687;0;0;0;0;6;6;42;72;114;194;314;123;133;256;269;365;273;158;52;1373
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5122000;Solingen;M;721;0;0;1;0;3;4;8;19;27;85;116;62;61;123;95;164;132;48;43;605
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5122000;Solingen;W;314;0;0;0;0;0;0;5;11;16;40;56;14;23;37;40;74;56;25;26;258
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;5122000;Solingen;X;1035;0;0;1;0;3;4;13;30;43;125;172;76;84;160;135;238;188;73;69;863
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8111000;Stuttgart;M;5772;0;0;0;0;9;9;89;271;360;731;1100;542;506;1048;986;1231;792;420;195;4672
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8111000;Stuttgart;W;2304;0;0;0;2;4;6;87;156;243;365;614;248;212;460;360;386;280;138;66;1690
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8111000;Stuttgart;X;8076;0;0;0;2;13;15;176;427;603;1096;1714;790;718;1508;1346;1617;1072;558;261;6362
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;7211000;Trier;M;396;0;0;0;1;1;2;4;17;21;44;67;27;40;67;69;81;52;41;19;329
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;7211000;Trier;W;208;0;0;0;0;0;0;8;14;22;22;44;22;20;42;31;38;24;14;15;164
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;7211000;Trier;X;604;0;0;0;1;1;2;12;31;43;66;111;49;60;109;100;119;76;55;34;493
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8421000;Ulm;M;1163;0;0;1;3;9;13;27;70;97;141;251;87;95;182;200;265;147;80;38;912
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8421000;Ulm;W;478;0;0;0;1;9;10;23;30;53;85;148;38;24;62;61;97;55;40;15;330
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;8421000;Ulm;X;1641;0;0;1;4;18;23;50;100;150;226;399;125;119;244;261;362;202;120;53;1242
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;6414000;Wiesbaden;M;1697;0;0;0;3;1;4;35;63;98;190;292;130;115;245;248;398;292;152;70;1405
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;6414000;Wiesbaden;W;807;0;1;0;1;2;4;28;34;62;94;160;76;62;138;107;178;115;69;40;647
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;6414000;Wiesbaden;X;2504;0;1;0;4;3;8;63;97;160;284;452;206;177;383;355;576;407;221;110;2052
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;3103000;Wolfsburg;M;525;0;0;0;2;6;8;10;14;24;48;80;38;43;81;85;117;73;55;34;445
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;3103000;Wolfsburg;W;224;0;0;0;0;1;1;12;9;21;24;46;17;20;37;38;52;27;18;6;178
