Schluessel,Straftat,Gemeindeschluessel,Stadt,Sexus,gesamt,Alter_unter_6,Alter_6_bis_8,Alter_8_bis_10,Alter_10_bis_12,Alter_12_bis_14,Kinder_gesamt,Alter_14_bis_16,Alter_16_bis_18,Jugendliche_gesamt,Alter_18_bis_21,unter_21_gesamt,Alter_21_bis_23,Alter_23_bis_25,Alter_21_bis_25,Alter_25_bis_30,Alter_30_bis_40,Alter_40_bis_50,Alter_50_bis_60,Alter_ueber_60,Erwachsene_gesamt,Jahr
------,Straftaten insgesamt,5515000,Muenster,M,"7,435",4,4,12,35,131,186,259,402,661,854,"1,701",578,549,"1,127","1,183","1,536",937,601,350,"5,734",2016
------,Straftaten insgesamt,5162024,Neuss,M,"4,426",0,0,11,21,41,73,118,205,323,488,884,291,312,603,688,"1,052",621,370,208,"3,542",2016
------,Straftaten insgesamt,9564000,Nuernberg,M,"15,370",3,8,32,95,143,281,370,729,"1,099","1,637","3,017","1,118","1,074","2,192","2,417","3,429","2,297","1,265",753,"12,353",2016
------,Straftaten insgesamt,5119000,Oberhausen,M,"5,490",0,4,14,33,67,118,168,256,424,610,"1,152",439,428,867,833,"1,141",780,435,282,"4,338",2016
------,Straftaten insgesamt,6413000,Offenbach am Main,M,"4,544",0,1,3,12,28,44,106,230,336,529,909,339,315,654,712,"1,115",659,329,166,"3,635",2016
------,Straftaten insgesamt,3403000,Oldenburg (Oldenburg),M,"4,053",0,1,8,20,58,87,149,253,402,489,978,299,273,572,609,816,526,338,214,"3,075",2016
------,Straftaten insgesamt,3404000,Osnabrueck,M,"5,893",0,4,6,18,41,69,122,273,395,604,"1,068",407,433,840,"1,008","1,283",900,506,288,"4,825",2016
------,Straftaten insgesamt,5774032,Paderborn,M,"4,386",0,7,8,13,37,65,132,277,409,578,"1,052",388,354,742,665,908,510,329,180,"3,334",2016
------,Straftaten insgesamt,8231000,Pforzheim,M,"3,184",0,6,10,31,69,116,93,150,243,301,660,197,208,405,482,681,473,315,168,"2,524",2016
------,Straftaten insgesamt,12054000,Potsdam,M,"3,997",0,4,8,23,70,105,147,182,329,332,766,210,203,413,656,937,531,423,271,"3,231",2016
------,Straftaten insgesamt,5562032,Recklinghausen,M,"3,431",1,0,9,28,44,82,101,208,309,341,732,197,224,421,526,732,508,350,162,"2,699",2016
------,Straftaten insgesamt,9362000,Regensburg,M,"7,469",2,2,5,16,37,62,246,393,639,"1,064","1,765",677,598,"1,275","1,347","1,552",841,421,268,"5,704",2016
------,Straftaten insgesamt,5120000,Remscheid,M,"2,316",0,4,8,19,43,74,66,105,171,168,413,154,120,274,348,539,377,239,126,"1,903",2016
------,Straftaten insgesamt,8415061,Reutlingen,M,"2,337",0,8,9,16,28,61,86,150,236,296,593,139,148,287,325,449,322,211,150,"1,744",2016
------,Straftaten insgesamt,13003000,Rostock,M,"5,939",20,21,35,65,86,227,183,249,432,556,"1,215",335,359,694,"1,085","1,421",691,484,349,"4,724",2016
------,Straftaten insgesamt,10041100,Saarbruecken,M,"8,494",14,25,37,51,123,250,318,727,"1,045","1,034","2,329",612,619,"1,231","1,354","1,603",949,646,382,"6,165",2016
------,Straftaten insgesamt,3102000,Salzgitter,M,"2,294",0,4,8,13,43,68,85,127,212,182,462,153,148,301,362,450,374,203,142,"1,832",2016
------,Straftaten insgesamt,13004000,Schwerin,M,"3,292",1,9,23,37,49,119,110,174,284,307,710,195,167,362,529,784,400,314,193,"2,582",2016
------,Straftaten insgesamt,5970040,Siegen,M,"3,009",0,6,6,20,44,76,99,165,264,318,658,245,232,477,475,636,393,220,150,"2,351",2016
------,Straftaten insgesamt,5122000,Solingen,M,"3,286",0,3,14,16,60,93,117,162,279,310,682,207,171,378,396,730,502,368,230,"2,604",2016
------,Straftaten insgesamt,8111000,Stuttgart,M,"20,559",31,26,55,79,244,435,496,"1,111","1,607","2,625","4,667","1,723","1,532","3,255","3,279","4,223","2,705","1,491",939,"15,892",2016
------,Straftaten insgesamt,7211000,Trier,M,"9,390",1,1,8,13,51,74,206,363,569,"1,407","2,050",818,825,"1,643","1,774","2,139","1,035",498,251,"7,340",2016
------,Straftaten insgesamt,8421000,Ulm,M,"3,622",2,3,7,13,33,58,130,240,370,413,841,282,283,565,575,762,459,256,164,"2,781",2016
------,Straftaten insgesamt,6414000,Wiesbaden,M,"7,006",1,6,6,35,88,136,256,474,730,691,"1,557",465,395,860,"1,002","1,488","1,080",628,391,"5,449",2016
------,Straftaten insgesamt,3103000,Wolfsburg,M,"2,697",0,2,6,10,37,55,80,107,187,255,497,184,183,367,439,669,353,223,149,"2,200",2016
------,Straftaten insgesamt,5124000,Wuppertal,M,"9,797",2,24,58,89,165,338,323,523,846,"1,004","2,188",653,638,"1,291","1,386","2,091","1,382",948,511,"7,609",2016
------,Straftaten insgesamt,9663000,Wuerzburg,M,"4,729",0,2,6,25,57,90,144,277,421,590,"1,101",391,388,779,774,905,562,361,247,"3,628",2016
------,Straftaten insgesamt,5334002,Aachen,W,"2,445",19,3,8,11,42,83,156,164,320,272,675,131,145,276,324,439,333,229,169,"1,770",2016
------,Straftaten insgesamt,9761000,Augsburg,W,"2,825",1,1,10,12,39,63,131,177,308,277,648,172,171,343,386,561,425,251,211,"2,177",2016
------,Straftaten insgesamt,5378004,Bergisch Gladbach,W,638,0,0,1,2,13,16,35,34,69,52,137,31,26,57,79,131,86,69,79,501,2016
------,Straftaten insgesamt,11000000,Berlin,W,"38,723",167,85,142,283,687,"1,364","1,504","1,652","3,156","2,744","7,264","2,046","2,222","4,268","5,835","8,646","5,748","3,970","2,992","31,459",2016
------,Straftaten insgesamt,5711000,Bielefeld,W,"2,467",2,0,7,10,34,53,134,178,312,196,561,131,132,263,310,562,370,236,165,"1,906",2016
------,Straftaten insgesamt,5911000,Bochum,W,"2,900",3,1,5,24,57,90,129,138,267,281,638,165,193,358,361,597,446,285,215,"2,262",2016
------,Straftaten insgesamt,5314000,Bonn,W,"2,587",0,0,7,11,47,65,151,156,307,223,595,157,140,297,348,508,380,272,187,"1,992",2016
------,Straftaten insgesamt,5512000,Bottrop,W,765,0,0,3,10,21,34,39,35,74,55,163,45,42,87,100,161,108,83,63,602,2016
------,Straftaten insgesamt,3101000,Braunschweig,W,"2,137",2,3,11,15,37,68,120,114,234,186,488,140,131,271,290,419,284,207,178,"1,649",2016
------,Straftaten insgesamt,4011000,Bremen,W,"5,142",4,3,10,38,89,144,233,332,565,454,"1,163",285,303,588,708,"1,052",756,516,359,"3,979",2016
