Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6 bis unter 14 Jahre - insgesamt;Opfer Kinder 6 bis unter 14 Jahre - maennlich;Opfer Kinder 6 bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich;Jahr
------;Straftaten insgesamt;8111000;Stuttgart;insg.;12300;8157;4143;105;63;42;498;270;228;603;333;270;737;415;322;1062;723;339;9373;6392;2981;525;294;231;9898;6686;3212;2016
------;Straftaten insgesamt;7211000;Trier;insg.;2131;1398;733;17;12;5;96;48;48;113;60;53;223;147;76;246;169;77;1447;954;493;102;68;34;1549;1022;527;2016
------;Straftaten insgesamt;8421000;Ulm;insg.;1821;1175;646;8;5;3;83;37;46;91;42;49;149;83;66;189;122;67;1310;876;434;82;52;30;1392;928;464;2016
------;Straftaten insgesamt;6414000;Wiesbaden;insg.;4114;2354;1760;41;20;21;174;93;81;215;113;102;368;222;146;409;236;173;2890;1660;1230;232;123;109;3122;1783;1339;2016
------;Straftaten insgesamt;3103000;Wolfsburg;insg.;1498;907;591;25;17;8;72;42;30;97;59;38;122;84;38;147;98;49;1061;630;431;71;36;35;1132;666;466;2016
------;Straftaten insgesamt;5124000;Wuppertal;insg.;6871;3955;2916;36;21;15;363;214;149;399;235;164;564;313;251;599;327;272;4967;2893;2074;342;187;155;5309;3080;2229;2016
------;Straftaten insgesamt;9663000;Wuerzburg;insg.;1927;1299;628;18;12;6;45;26;19;63;38;25;176;111;65;234;143;91;1362;951;411;92;56;36;1454;1007;447;2016
111000;Vergewaltigung und sexuelle Noetigung;5334002;Aachen;insg.;39;2;37;0;0;0;0;0;0;0;0;0;10;0;10;6;0;6;22;2;20;1;0;1;23;2;21;2016
111000;Vergewaltigung und sexuelle Noetigung;9761000;Augsburg;insg.;23;1;22;0;0;0;1;0;1;1;0;1;3;0;3;3;0;3;15;1;14;1;0;1;16;1;15;2016
111000;Vergewaltigung und sexuelle Noetigung;5378004;Bergisch Gladbach;insg.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1;2016
111000;Vergewaltigung und sexuelle Noetigung;11000000;Berlin;insg.;587;55;532;0;0;0;10;2;8;10;2;8;95;4;91;84;3;81;389;46;343;9;0;9;398;46;352;2016
111000;Vergewaltigung und sexuelle Noetigung;5711000;Bielefeld;insg.;37;1;36;0;0;0;0;0;0;0;0;0;8;1;7;6;0;6;23;0;23;0;0;0;23;0;23;2016
111000;Vergewaltigung und sexuelle Noetigung;5911000;Bochum;insg.;44;2;42;0;0;0;0;0;0;0;0;0;7;1;6;6;1;5;31;0;31;0;0;0;31;0;31;2016
111000;Vergewaltigung und sexuelle Noetigung;5314000;Bonn;insg.;62;1;61;0;0;0;2;1;1;2;1;1;9;0;9;10;0;10;41;0;41;0;0;0;41;0;41;2016
111000;Vergewaltigung und sexuelle Noetigung;5512000;Bottrop;insg.;11;0;11;0;0;0;0;0;0;0;0;0;4;0;4;2;0;2;4;0;4;1;0;1;5;0;5;2016
111000;Vergewaltigung und sexuelle Noetigung;3101000;Braunschweig;insg.;45;0;45;0;0;0;0;0;0;0;0;0;9;0;9;6;0;6;30;0;30;0;0;0;30;0;30;2016
111000;Vergewaltigung und sexuelle Noetigung;4011000;Bremen;insg.;119;5;114;0;0;0;1;0;1;1;0;1;15;1;14;19;0;19;80;4;76;4;0;4;84;4;80;2016
111000;Vergewaltigung und sexuelle Noetigung;4012000;Bremerhaven;insg.;32;0;32;0;0;0;0;0;0;0;0;0;12;0;12;6;0;6;14;0;14;0;0;0;14;0;14;2016
111000;Vergewaltigung und sexuelle Noetigung;14511000;Chemnitz;insg.;11;0;11;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;8;0;8;0;0;0;8;0;8;2016
111000;Vergewaltigung und sexuelle Noetigung;6411000;Darmstadt;insg.;21;0;21;0;0;0;1;0;1;1;0;1;2;0;2;4;0;4;13;0;13;1;0;1;14;0;14;2016
111000;Vergewaltigung und sexuelle Noetigung;5913000;Dortmund;insg.;108;4;104;1;1;0;2;0;2;3;1;2;23;2;21;17;0;17;65;1;64;0;0;0;65;1;64;2016
111000;Vergewaltigung und sexuelle Noetigung;14612000;Dresden;insg.;15;1;14;0;0;0;0;0;0;0;0;0;2;1;1;2;0;2;11;0;11;0;0;0;11;0;11;2016
111000;Vergewaltigung und sexuelle Noetigung;5112000;Duisburg;insg.;61;2;59;0;0;0;1;0;1;1;0;1;16;0;16;11;2;9;33;0;33;0;0;0;33;0;33;2016
111000;Vergewaltigung und sexuelle Noetigung;5111000;Duesseldorf;insg.;96;2;94;1;1;0;4;0;4;5;1;4;17;0;17;21;0;21;51;1;50;2;0;2;53;1;52;2016
111000;Vergewaltigung und sexuelle Noetigung;16051000;Erfurt;insg.;28;2;26;0;0;0;0;0;0;0;0;0;8;0;8;3;0;3;17;2;15;0;0;0;17;2;15;2016
111000;Vergewaltigung und sexuelle Noetigung;9562000;Erlangen;insg.;12;0;12;0;0;0;2;0;2;2;0;2;0;0;0;3;0;3;7;0;7;0;0;0;7;0;7;2016
111000;Vergewaltigung und sexuelle Noetigung;5113000;Essen;insg.;100;9;91;0;0;0;4;1;3;4;1;3;24;2;22;18;3;15;50;2;48;4;1;3;54;3;51;2016
111000;Vergewaltigung und sexuelle Noetigung;6412000;Frankfurt am Main;insg.;74;1;73;0;0;0;2;0;2;2;0;2;10;0;10;6;0;6;55;1;54;1;0;1;56;1;55;2016
111000;Vergewaltigung und sexuelle Noetigung;8311000;Freiburg im Breisgau;insg.;21;1;20;0;0;0;1;0;1;1;0;1;3;0;3;3;0;3;12;1;11;2;0;2;14;1;13;2016
111000;Vergewaltigung und sexuelle Noetigung;9563000;Fuerth;insg.;12;0;12;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;9;0;9;0;0;0;9;0;9;2016
111000;Vergewaltigung und sexuelle Noetigung;5513000;Gelsenkirchen;insg.;40;1;39;0;0;0;0;0;0;0;0;0;8;1;7;8;0;8;22;0;22;2;0;2;24;0;24;2016
111000;Vergewaltigung und sexuelle Noetigung;3152012;Goettingen;insg.;18;2;16;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;16;1;15;0;0;0;16;1;15;2016
111000;Vergewaltigung und sexuelle Noetigung;5914000;Hagen;insg.;26;2;24;0;0;0;4;0;4;4;0;4;6;0;6;4;1;3;12;1;11;0;0;0;12;1;11;2016
111000;Vergewaltigung und sexuelle Noetigung;15002000;Halle (Saale);insg.;30;1;29;0;0;0;0;0;0;0;0;0;5;0;5;5;1;4;20;0;20;0;0;0;20;0;20;2016
111000;Vergewaltigung und sexuelle Noetigung;2000000;Hamburg;insg.;211;6;205;0;0;0;4;1;3;4;1;3;29;1;28;49;0;49;125;4;121;4;0;4;129;4;125;2016
111000;Vergewaltigung und sexuelle Noetigung;5915000;Hamm;insg.;25;1;24;0;0;0;3;1;2;3;1;2;4;0;4;3;0;3;15;0;15;0;0;0;15;0;15;2016
111000;Vergewaltigung und sexuelle Noetigung;3241001;Hannover;insg.;77;2;75;0;0;0;3;0;3;3;0;3;10;0;10;9;0;9;54;2;52;1;0;1;55;2;53;2016
111000;Vergewaltigung und sexuelle Noetigung;8221000;Heidelberg;insg.;15;0;15;0;0;0;0;0;0;0;0;0;1;0;1;5;0;5;8;0;8;1;0;1;9;0;9;2016
111000;Vergewaltigung und sexuelle Noetigung;8121000;Heilbronn;insg.;8;1;7;0;0;0;0;0;0;0;0;0;2;1;1;2;0;2;4;0;4;0;0;0;4;0;4;2016
111000;Vergewaltigung und sexuelle Noetigung;5916000;Herne;insg.;22;3;19;0;0;0;0;0;0;0;0;0;10;1;9;5;1;4;7;1;6;0;0;0;7;1;6;2016
111000;Vergewaltigung und sexuelle Noetigung;3254021;Hildesheim;insg.;22;4;18;0;0;0;0;0;0;0;0;0;8;2;6;6;2;4;8;0;8;0;0;0;8;0;8;2016
111000;Vergewaltigung und sexuelle Noetigung;9161000;Ingolstadt;insg.;18;2;16;0;0;0;1;0;1;1;0;1;5;1;4;4;0;4;8;1;7;0;0;0;8;1;7;2016
111000;Vergewaltigung und sexuelle Noetigung;16053000;Jena;insg.;7;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;0;0;7;0;7;2016
111000;Vergewaltigung und sexuelle Noetigung;8212000;Karlsruhe;insg.;28;1;27;0;0;0;1;0;1;1;0;1;5;0;5;5;1;4;16;0;16;1;0;1;17;0;17;2016
111000;Vergewaltigung und sexuelle Noetigung;6611000;Kassel;insg.;43;3;40;0;0;0;0;0;0;0;0;0;6;1;5;10;1;9;26;1;25;1;0;1;27;1;26;2016
111000;Vergewaltigung und sexuelle Noetigung;1002000;Kiel;insg.;37;2;35;0;0;0;0;0;0;0;0;0;4;1;3;7;0;7;25;1;24;1;0;1;26;1;25;2016
111000;Vergewaltigung und sexuelle Noetigung;7111000;Koblenz;insg.;15;0;15;0;0;0;0;0;0;0;0;0;3;0;3;1;0;1;11;0;11;0;0;0;11;0;11;2016
