Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;4011000;Bremen;insg.;10,219;6,129;4,090;71;31;40;403;183;220;474;214;260;811;456;355;933;591;342;7,388;4,530;2,858;613;338;275;8,001;4,868;3,133
------;Straftaten insgesamt;4012000;Bremerhaven;voll.;2,420;1,376;1,044;21;10;11;122;66;56;143;76;67;211;122;89;170;83;87;1,777;1,024;753;119;71;48;1,896;1,095;801
------;Straftaten insgesamt;4012000;Bremerhaven;vers.;114;76;38;0;0;0;1;1;0;1;1;0;6;3;3;11;7;4;88;59;29;8;6;2;96;65;31
------;Straftaten insgesamt;4012000;Bremerhaven;insg.;2,534;1,452;1,082;21;10;11;123;67;56;144;77;67;217;125;92;181;90;91;1,865;1,083;782;127;77;50;1,992;1,160;832
------;Straftaten insgesamt;14511000;Chemnitz;voll.;2,719;1,634;1,085;52;32;20;195;90;105;247;122;125;233;128;105;226;130;96;1,831;1,161;670;182;93;89;2,013;1,254;759
------;Straftaten insgesamt;14511000;Chemnitz;vers.;176;130;46;2;1;1;9;4;5;11;5;6;11;9;2;7;7;0;140;106;34;7;3;4;147;109;38
------;Straftaten insgesamt;14511000;Chemnitz;insg.;2,895;1,764;1,131;54;33;21;204;94;110;258;127;131;244;137;107;233;137;96;1,971;1,267;704;189;96;93;2,160;1,363;797
------;Straftaten insgesamt;12052000;Cottbus;voll.;1,785;1,044;741;12;6;6;138;69;69;150;75;75;159;66;93;172;99;73;1,179;730;449;125;74;51;1,304;804;500
------;Straftaten insgesamt;12052000;Cottbus;vers.;115;67;48;3;2;1;11;4;7;14;6;8;13;4;9;6;3;3;72;48;24;10;6;4;82;54;28
------;Straftaten insgesamt;12052000;Cottbus;insg.;1,900;1,111;789;15;8;7;149;73;76;164;81;83;172;70;102;178;102;76;1,251;778;473;135;80;55;1,386;858;528
------;Straftaten insgesamt;6411000;Darmstadt;voll.;1,582;964;618;12;6;6;60;31;29;72;37;35;93;52;41;130;72;58;1,195;748;447;92;55;37;1,287;803;484
------;Straftaten insgesamt;6411000;Darmstadt;vers.;66;41;25;0;0;0;3;2;1;3;2;1;5;1;4;5;5;0;47;29;18;6;4;2;53;33;20
------;Straftaten insgesamt;6411000;Darmstadt;insg.;1,648;1,005;643;12;6;6;63;33;30;75;39;36;98;53;45;135;77;58;1,242;777;465;98;59;39;1,340;836;504
------;Straftaten insgesamt;5913000;Dortmund;voll.;11,551;7,174;4,377;63;38;25;573;327;246;636;365;271;826;471;355;970;588;382;8,559;5,426;3,133;560;324;236;9,119;5,750;3,369
------;Straftaten insgesamt;5913000;Dortmund;vers.;680;451;229;2;1;1;44;28;16;46;29;17;64;38;26;54;35;19;458;313;145;58;36;22;516;349;167
------;Straftaten insgesamt;5913000;Dortmund;insg.;12,231;7,625;4,606;65;39;26;617;355;262;682;394;288;890;509;381;1,024;623;401;9,017;5,739;3,278;618;360;258;9,635;6,099;3,536
------;Straftaten insgesamt;14612000;Dresden;voll.;6,376;4,000;2,376;105;50;55;482;232;250;587;282;305;535;332;203;513;334;179;4,411;2,864;1,547;330;188;142;4,741;3,052;1,689
------;Straftaten insgesamt;14612000;Dresden;vers.;445;319;126;6;4;2;17;11;6;23;15;8;23;14;9;34;26;8;340;248;92;25;16;9;365;264;101
------;Straftaten insgesamt;14612000;Dresden;insg.;6,821;4,319;2,502;111;54;57;499;243;256;610;297;313;558;346;212;547;360;187;4,751;3,112;1,639;355;204;151;5,106;3,316;1,790
------;Straftaten insgesamt;5112000;Duisburg;voll.;7,773;4,230;3,543;68;37;31;513;298;215;581;335;246;664;375;289;612;301;311;5,465;2,990;2,475;451;229;222;5,916;3,219;2,697
------;Straftaten insgesamt;5112000;Duisburg;vers.;518;314;204;3;3;0;35;19;16;38;22;16;53;36;17;38;26;12;354;210;144;35;20;15;389;230;159
------;Straftaten insgesamt;5112000;Duisburg;insg.;8,291;4,544;3,747;71;40;31;548;317;231;619;357;262;717;411;306;650;327;323;5,819;3,200;2,619;486;249;237;6,305;3,449;2,856
------;Straftaten insgesamt;5111000;D sseldorf;voll.;9,755;6,078;3,677;50;33;17;341;200;141;391;233;158;745;449;296;897;573;324;7,208;4,515;2,693;514;308;206;7,722;4,823;2,899
------;Straftaten insgesamt;5111000;D sseldorf;vers.;573;371;202;4;2;2;25;11;14;29;13;16;30;17;13;44;23;21;425;292;133;45;26;19;470;318;152
