Schluessel,Straftat,Gemeindeschluessel,Stadt,Fallstatus,Oper insgesamt,Opfer maennlich,Opfer weiblich,Opfer - Kinder bis unter 6 Jahre - insgesamt,Opfer - Kinder bis unter 6 Jahre - maennlich,Opfer - Kinder bis unter 6 Jahre - weiblich,Opfer Kinder 6 bis unter 14 Jahre - insgesamt,Opfer Kinder 6 bis unter 14 Jahre - maennlich,Opfer Kinder 6 bis unter 14 Jahre - weiblich,Opfer Kinder bis 14 Jahre- insgesamt,Opfer Kinder bis 14 Jahre- maennlich,Opfer Kinder bis 14 Jahre- weiblich,Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt,Opfer Jugendliche 14 bis unter 18 Jahre - maennlich,Opfer Jugendliche 14 bis unter 18 Jahre - weiblich,Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt,Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich,Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich,Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt,Opfer Erwachsene 21 bis unter 60 Jahre - maennlich,Opfer Erwachsene 21 bis unter 60 Jahre - weiblich,Opfer - Erwachsene 60 Jahre und aelter - insgesamt,Opfer - Erwachsene 60 Jahre und aelter - maennlich,Opfer - Erwachsene 60 Jahre und aelter - weiblich,Opfer Erwachsene - insgesamt,Opfer Erwachsene - maennlich,Opfer Erwachsene - weiblich,Jahr
------,Straftaten insgesamt,9562000,Erlangen,voll.,1066,664,402,13,6,7,31,16,15,44,22,22,62,42,20,105,61,44,796,499,297,59,40,19,855,539,316,2019
------,Straftaten insgesamt,9562000,Erlangen,vers.,79,47,32,2,1,1,2,1,1,4,2,2,7,4,3,4,1,3,60,38,22,4,2,2,64,40,24,2019
------,Straftaten insgesamt,9562000,Erlangen,insg.,1145,711,434,15,7,8,33,17,16,48,24,24,69,46,23,109,62,47,856,537,319,63,42,21,919,579,340,2019
------,Straftaten insgesamt,5113000,Essen,voll.,7143,4023,3120,51,27,24,444,255,189,495,282,213,535,289,246,529,287,242,5149,2921,2228,435,244,191,5584,3165,2419,2019
------,Straftaten insgesamt,5113000,Essen,vers.,406,262,144,3,1,2,31,18,13,34,19,15,27,17,10,25,13,12,272,184,88,48,29,19,320,213,107,2019
------,Straftaten insgesamt,5113000,Essen,insg.,7549,4285,3264,54,28,26,475,273,202,529,301,228,562,306,256,554,300,254,5421,3105,2316,483,273,210,5904,3378,2526,2019
------,Straftaten insgesamt,6412000,Frankfurt am Main,voll.,11837,7553,4284,102,59,43,348,192,156,450,251,199,628,390,238,847,503,344,9294,6019,3275,618,390,228,9912,6409,3503,2019
------,Straftaten insgesamt,6412000,Frankfurt am Main,vers.,883,619,264,10,6,4,39,30,9,49,36,13,45,30,15,69,48,21,662,472,190,58,33,25,720,505,215,2019
------,Straftaten insgesamt,6412000,Frankfurt am Main,insg.,12720,8172,4548,112,65,47,387,222,165,499,287,212,673,420,253,916,551,365,9956,6491,3465,676,423,253,10632,6914,3718,2019
------,Straftaten insgesamt,8311000,Freiburg im Breisgau,voll.,4139,2793,1346,42,27,15,150,83,67,192,110,82,314,194,120,397,277,120,3046,2089,957,190,123,67,3236,2212,1024,2019
