Schluessel;Straftat;Gemeindeschluessel;Stadt;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasse Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufkaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an Gesamtzahl;
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5915000;Hamm;22;12.2;1;4.5;0;0;18;81.8;18;18;0;5;27.8;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;6435014;Hanau;19;18.7;1;5.3;0;0;17;89.5;16;16;0;7;43.8;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;3241001;Hannover;169;31;18;10.7;1;0;141;83.4;144;144;0;67;46.5;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;8221000;Heidelberg;22;13.6;1;4.5;0;0;13;59.1;13;13;0;4;30.8;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;8121000;Heilbronn;26;20.3;2;7.7;0;0;20;76.9;21;20;1;15;71.4;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5916000;Herne;20;12.7;0;0;0;0;18;90;18;18;0;6;33.3;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;3254021;Hildesheim;28;27.5;1;3.6;0;0;24;85.7;30;30;0;8;26.7;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9161000;Ingolstadt;22;15.6;5;22.7;0;0;19;86.4;18;18;0;7;38.9;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;16053000;Jena;4;3.6;0;0;0;0;4;100;4;4;0;1;25;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;7312000;Kaiserslautern;20;19.8;2;10;0;0;17;85;17;17;0;10;58.8;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;8212000;Karlsruhe;49;15.9;5;10.2;0;0;37;75.5;38;38;0;20;52.6;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;6611000;Kassel;54;26.4;5;9.3;0;0;44;81.5;53;53;0;33;62.3;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;1002000;Kiel;40;16.1;7;17.5;0;0;35;87.5;37;37;0;12;32.4;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;7111000;Koblenz;16;13.9;2;12.5;0;0;13;81.3;13;13;0;7;53.8;565370
